title,info,file,expires,tags,usage,country,product_category
Vydate 10 G NEMATICIDE,Vydate 10 G,BE-NL_Vydate_10_G_pkg_bdg_fr-nl_pms.eps,Never,"Belgium, The Netherlands, Vydate 10 G, Nematicide, Insecticide, Oxamyl, French, Dutch,Nematicide, Insecticide .","PMS 731 C Brown, PMS 4645 C Brown, PMS 285 C Blue, Black",Netherlands,Nematicide
Lumisure Seed treatment,"Lumisure, Seed Treatment",ZA_Lumisure_Clothianidin_pkg_txt_en_pms.eps,Never,"South Africa, Lumisure, Clothianidin, Seed Treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",South Africa,Seed Treatment
CONFRONT 360 SL HERBICIDE,CONFRONT 360 SL,ZA_CONFRONT_360_SL_pkg_bdg_en_pms.eps,Never,"SOUTH AFRICA, CONFRONT3 60SL, HERBICIDE","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",South Africa,Herbicide
Grandor 600 EC HERBICIDE,"Grandor 600 EC, HERBICIDE - Greece",GR_Grandor_600_EC_pkg_txt_el_pms.eps,Never,"Greece, Grandor 600 EC, ΖΙΖΑΝΙΟΚΤΟΝΟ, Greek, HERBICIDE","Black, PMS 361 C Green, PMS 285 C Blue",Greece,Herbicide
Arigo Herbicide,Arigo® HERBICIDE - Macedonia,MK_Arigo_bilingual_pkg_bdg_mk_pms.eps,Never,"MACEDONIA, Arigo®, ХЕРБИЦИД, Macedonian, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Macedonia,Herbicide
Stinger Fungicide,® ستنڨر,TN_Stinger_bilingual_pkg_bdg_fr_pms.eps,Never,"Tunisia ,Stinger , Fongicide , Fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Tunisia,Fungicide
Mezavue 250 EW Herbicide,"Mezavue 250 EW , HERBICIDE",ZA_Mezavue_250_EW_pkg_txt_en_pms.eps,Never,"Mezavue 250 EW HERBICIDE , SOUTH AFRICA","Black, PMS 285 C Blue, PMS 361 C Green",South Africa,Herbicide
Sherpa Duo,Sherpa Duo rovarölő szer,HU_Sherpa_Duo_pkg_bdg_hu_pms.eps,Never,"Hungary, Sherpa Duo, rovarölő szer, Hungarian, Insecticide","Black, PMS 285 C Blue, PMS 158 C Orange, PMS 1495 C Orange",Hungary,Insecticide
Zorvec Vinabria Fungicide,Zorvec Vinabria gombaölő szer,HU_Zorvec_Vinabria_pkg_bdg_hu_pms.eps,Never,"Hungary, Zorvec Vinabria, gombaölő szer, zorvec, folpet, Hungarian, Fungicide","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Hungary,Fungicide
Questar Fungicide,Queen gombaölő szer,HU_Questar_pkg_bdg_hu_pms.eps,Never,"Hungary, Queen, gombaölő szer, inatreq, prothioconazol, Hungarian, Fungicide","Black, PMS 285 C Blue, PMS 513 C Purple, PMS 514 C Purple",Hungary,Fungicide
Zorvec Vinabel Fungicide,Zorvec Vinabel gombaölő szer,HU_Zorvec_Vinabel_pkg_bdg_hu_pms.eps,Never,"Hungary, Zorvec Vinabel, gombaölő szer, zorvec, zoxamid, Hungarian, Fungicide","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Hungary,Fungicide
Zorvec Endavia Fungicide,Zorvec Endavia gombaölő szer,HU_Zorvec_Endavia_pkg_bdg_hu_pms.eps,Never,"Hungary, Zorvec Endavia, gombaölő szer, benthiavalikarp, Hungarian, Fungicide","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Hungary,Fungicide
Queen Fungicide,Queen gombaölő szer,HU_Queen_pkg_bdg_hu_pms.eps,Never,"Hungary, Queen, gombaölő szer, inatreq, Hungarian, Fungicide","Black, PMS 285 C Blue, PMS 513 C Purple, PMS 514 C Purple",Hungary,Fungicide
Magma Insecticide,MAGMA ROVARÖLŐ SZER,HU_Magma_pkg_bdg_hu_pms.eps,Never,"Hungary, Magma, rovarölő szer, Hungarian, Insecticide","Black, PMS 285 C Blue, PMS 158 C Orange, PMS 1495 C Orange",Hungary,Insecticide
Lumisena Fungicide Seed Treatment,LUMISENA GOMBAÖLŐ CSÁVÁZÓSZER,HU_Lumisena_pkg_bdg_hu_pms.eps,Never,"Hungary, Lumisena, gombaölő csávázószer, Hungarian, Fungicide Seed Treatment","Black, PMS 285 C Blue, PMS 7549 C Gold, PMS 128 C Gold",Hungary,Seed Treatment
Trend 90 Surfactant,Trend 90,HU_Trend_90_pkg_txt_hu_pms.eps,Never,"Hungary, Trend 90, SEGÉDANYAG, Hungarian, Surfactand","PMS 214 C Pink, PMS 285 C Blue, Black",Hungary,
Lumivia Semillero insecticide seed treatment,"Lumivia Semillero, Tratamiento insecticida para semillas",AR_Lumivia_Semillero_pkg_txt_es_pms.eps,Never,"Argentina, Lumivia Semillero, Tratamiento insecticida para semillas, spanish, insecticide seed treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",Argentina,Seed Treatment
Talius fungicide,Talius,HU_Talius_pkg_bdg_hu_pms.eps,Never,"Hungary, Talius GOMBAÖLŐ SZER, Hungarian, fungicide","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Hungary,Fungicide
Lumivia RA insecticide seed treatment,"Lumivia RA, Tratamiento insecticida para semillas",AR_Lumivia_RA_pkg_txt_es_pms.eps,Never,"Argentina, Lumivia RA, Tratamiento insecticida para semillas, spanish, insecticide seed treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",Argentina,Seed Treatment
Principal herbicide,Principal,HU_Principal_pkg_txt_hu_pms.eps,Never,"Hungary, Principal gombaölő szer, Hungarianm herbicide","PMS 361 C Green, PMS 285 C Blue, Black",Hungary,Herbicide
Lumisure Semillero insecticide seed treatment,"Lumisure Semillero, Tratamiento insecticida para semillas",AR_Lumisure_Semillero_pkg_txt_es_pms.eps,Never,"Argentina, Lumisure Semillero, Tratamiento insecticida para semillas, spanish, insecticide seed treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",Argentina,Seed Treatment
Lumisena Semillero insecticide seed treatment,"Lumisena Semillero, Tratamiento insecticida para semillas",AR_Lumisena_Semillero_pkg_txt_es_pms.eps,Never,"Argentina, Lumisena Semillero, Tratamiento insecticida para semillas, spanish, insecticide seed treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",Argentina,Seed Treatment
Titus 25 DF herbicide,Titus 25 DF,HU_Titus_25_DF_pkg_bdg_hu_pms.eps,Never,"Hungary, Titus 25 DF GYOMIRTÓ SZER, Hungarian, herbicide","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",Hungary,Herbicide
Propiconazole Dow AgroSciences Fungicide,Fungicida Propiconazole® Dow AgroSciences,PY_Propiconazole_Dow_AgroSciences_pkg_txt_es_pms.eps,Never,"Paraguay, Propiconazole® Dow AgroSciences, fungicida, spanish, fungicide","Black, PMS 513 C Purple, PMS 285 C Blue",Paraguay,Fungicide
HORMOBAN 420 SL HERBICIDE,HORMOBAN 420 SL,ZA_HORMOBAN_420_SC_pkg_bdg_en_pms.eps,Never,"HORMOBAN 420 SL, Herbicide, South Africa","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",South Africa,Herbicide
Verben Fungicide,"Verben, FUNGICIDE - Turkey",TR_Verben_pkg_txt_tr_pms.eps,Never,"Turkey, Verben, Fungisit, Turkish, Fungicide","PMS 513 C Purple, PMS 285 C Blue, Black",Turkey,Fungicide
Preside Herbicide,Herbicida Preside®,PY_Preside_pkg_bdg_es_pms.eps,Never,"Paraguay, Preside®, Herbicida, Spanish, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Paraguay,Herbicide
"VYDATE G, INSECTICIDA - NEMATICIDA","Vydate G, INSECTICIDA - NEMATICIDA",CL_Vydate_G_pkg_txt_es_pms.eps,Never,"chile, vydate G, insecticida-nematicida, spanish, insecticide-nematicide","Black, PMS 285 C Blue",Chile,Nematicide
Success,"insecticida successs, chile",CL_Success_pkg_txt_es_pms.eps,Never,"chile, success, insecticida, spanish, insecticide","Black, PMS 285 C Blue",Chile,Insecticide
salibro nematicide,salibro nematicida,CL_Salibro_pkg_txt_es_pms.eps,Never,"chile, salibro, nematicida, spanish, nematicide","Black, PMS 285 C Blue",Chile,Nematicide
"Twinguard RTU , Insecticida","Twinguard RTU, Insecticida",CL_Twinguard_RTU_pkg_txt_es_pms.eps,Never,"chile, Twinguard RTU, Insecticida, spanish, insecticide","Black, PMS 285 C Blue",Chile,Insecticide
"VYDATE L, INSECTICIDA - NEMATICIDA","Vydate L, INSECTICIDA - NEMATICIDA",CL_Vydate_L_pkg_txt_es_pms.eps,Never,"chile, vydate L, insecticida-nematicida, spanish, insecticide-nematicide","Black, PMS 285 C Blue",Chile,Nematicide
Laser 24 SC Insecticide,"Laser 24 SC, INSECTICIDE - Cyprus",CY_Laser_24_SC_pkg_bdg_el_pms.eps,Never,"Cyprus, Laser 24 SC, ΕΝΤΟΜΟΚΤΟΝΟ, Greek, INSECTICIDE","PMS 1525 C Orange, PMS 1495 C Orange, PMS 285 C Blue, Black",Cyprus,Insecticide
Zellek Super Herbicide,Зеллек Супер Гербицид,KZ_Zellek_Super_EC_bilingual_pkg_txt_ru_pms.eps,Never,"Kazakhstan, Зеллек Супер, Гербицид, Russian","PMS 361 C Green, PMS 285 C Blue, Black",Russia,Herbicide
Rainbow 25 OD Herbicide,Рейнбоу 25 ОД Гербицид,KZ_Rainbow_25_OD_bilingual_pkg_bdg_ru_pms.eps,Never,"Kazakhstan, Рейнбоу 25 ОД, Гербицид, Russian, Herbicide","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",Russia,Herbicide
"Zorvec Endavia 10 OD, Fungicide","Zorvec Endavia 10 OD, FUNGICIDE - Greece",GR_Zorvec_Endavia_10_OD_pkg_bdg_el_pms.eps,Never,"Greece, Zorvec Endavia 10 OD, ΜΥΚΗΤΟΚΤΟΝΟ, Greek, FUNGICIDE","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Greece,Fungicide
